Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Prediction,source
Cheesy Macaroni and Cheese,Children's Men,None,None,,"Dairy, Wheat",Contains,uber_eats
Vanilla Ice Cream,Children's Men,None,None,,Dairy,Contains,uber_eats
Cobb Salad,Picked for you,None,None,"Grilled chicken, tomato, bacon, crumbled bleu cheese, egg, and seasoned croutons served over lettuce with your choice of dressing.","Dairy, Eggs",Contains,uber_eats
Philly Cheese Steak,Picked for you,None,None,"Shaved sirloin, onions, provolone cheese, mushrooms, and bell peppers on French bread.","Dairy, Wheat",Contains,uber_eats
Chili Cheese Dog,Picked for you,None,None,Combo includes fry and drink (1102-1918 calories). ,Dairy,Contains,uber_eats
Cheddar Cheese Fries,Picked for you,None,None,,Dairy,Contains,uber_eats
Chili Cheese Dog,Mains,None,None,Combo includes fry and drink (1102-1918 calories). ,Dairy,Contains,uber_eats
Buffalo Chicken Sandwich,Mains,None,None,Combo includes fry and drink (821-959 calories). ,Wheat,Contains,uber_eats
Chicken Sandwich,Mains,None,None,Combo includes fry and drink (710-839 calories). ,Wheat,Contains,uber_eats
Philly Cheesesteak Sandwich,Mains,None,None,Combo includes fry and drink (671-809 calories). ,Wheat,Contains,uber_eats
Pete's Burger,Other Favorites,None,None,,Wheat,Contains,uber_eats
Chicken Salad Sandwich,Other Favorites,None,None,,Wheat,Contains,uber_eats
Bologna Sandwich,Other Favorites,None,None,,Wheat,Contains,uber_eats
Corn Dog,Other Favorites,None,None,,Corn,Contains,uber_eats
Cheddar Cheese Fries,Famous Fries &amp; Sides,None,None,,Dairy,Contains,uber_eats
Onion Rings,Famous Fries &amp; Sides,None,None,,Onion,Contains,uber_eats
Cheddar Cheese Nachos,Famous Fries &amp; Sides,None,None,,Dairy,Contains,uber_eats
Bacon and Eggs Breakfast,Picked for you,None,None,"Two eggs served with three strips of crispy all natural nitrate free applewood bacon, a bowl of creamy dreamy grits and a fluffy flying biscuit.",Corn,Contains,uber_eats
Waffle Breakfast,Picked for you,None,None,"2 eggs served any style you like, choice of meat, choice of side, a golden Belgian waffle and a fluffy flying biscuit with cranberry apple butter. Syrup and butter served on the side.",Dairy,Contains,uber_eats
Smoked Salmon Scramble,Picked for you,None,None,"Three eggs scrambled with wood smoked salmon and dill cream cheese with fresh chives, served with creamy dreamy grits and a fluffy flying biscuit.","Corn, Dairy, Fish",Contains,uber_eats
Stuffed French Toast Breakfast,Picked for you,None,None,"Two thick slices of challah bread dipped in our signature batter, grilled, stuffed with sweet cream cheese and topped with powdered sugar and fresh strawberries. Honey anglaise and raspberry sauce on the side. Served with two eggs, two chicken sage sausage patties, cream dreamy grits and a fluffy flying biscuit.","Corn, Dairy, Wheat",Contains,uber_eats
Classic Benedict,Benedicts,None,None,"English muffin topped with Canadian bacon, two over-medium eggs, and hollandaise, served with creamy dreamy grits.",Corn,Contains,uber_eats
FREEBIRD ,Benedicts,None,None,"Split biscuit topped with crispy buttermilk chicken, two eggs, chicken sausage gravy and drizzled with syrup, served with choice of side.",Dairy,Contains,uber_eats
Southern Style Benedict,Benedicts,None,None,"Split biscuit topped with pimento cheese, two over medium eggs, crispy all natural nitrate free applewood bacon, hollandaise and basil served with creamy dreamy grits.","Corn, Dairy",Contains,uber_eats
Small Milk,Beverages,None,None,,Dairy,Contains,uber_eats
Large Milk,Beverages,None,None,,Dairy,Contains,uber_eats
Chicken Cobb Salad,Bowls and Plates,None,None,"Chopped romaine topped with crispy buttermilk chicken, bacon, white cheddar cheese, hard boiled egg, and diced tomato. Served with your choice of dressing. Honey Lime Vinaigrette, Balsamic Vinaigrette, Raspberry Vinaigrette, Ranch and Thousand Island.","Dairy, Eggs",Contains,uber_eats
Crispy Buttermilk Chicken Tenders,Bowls and Plates,None,None,"Crispy buttermilk chicken, grilled macaroni and cheese and spicy vegan collard greens. Served with a fluffy flying biscuit.","Dairy, Wheat",Contains,uber_eats
Shrimp and Grits Entrée,Bowls and Plates,None,None,"Creamy dreamy white cheddar cheese grits topped with blackened shrimp, bacon and a rustic roasted red pepper and tomato sauce, garnished with fresh basil. Served with a fluffy flying biscuit.","Corn, Dairy, Shellfish",Contains,uber_eats
Caesar Salad,Bowls and Plates,None,None,"Chopped romaine, parmesan cheese, black pepper, croutons, Caesar dressing.","Dairy, Fish",Contains,uber_eats
Biscuit Pot Pie,Bowls and Plates,None,None,"Creamed chicken, carrots, celery, onions, potatoes, green peas, and gravy. A modern twist on an old Southern classic.",Celery,Contains,uber_eats
Bacon Grit Bowl,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"A 12 ounce bowl of grits topped with scrambled egg, choice of chopped turkey bacon or all-natural nitrate free applewood smoked bacon and American cheese.  Served with a biscuit.","Corn, Dairy, Eggs, Wheat",Contains,uber_eats
Sausage Grit Bowl,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"A 12 ounce bowl of grits topped with scrambled eggs, chopped chicken sausage and American cheese.  Served with a biscuit.","Corn, Dairy, Wheat",Contains,uber_eats
Gravy Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,An open faced biscuit smothered in our chicken sausage gravy. The chicken sausage gravy is served on the side.,Wheat,Contains,uber_eats
Bacon Egg & Cheese Burrito,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"Applewood smoked pork bacon, scrambled egg and cheddar cheese wrapped in a warm 12' flour tortilla.","Dairy, Eggs, Wheat",Contains,uber_eats
Sausage Egg & Cheese Burrito,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"Chopped Chicken Sausage, scrambled egg and cheddar cheese wrapped in a warm 12"" flour tortilla.","Dairy, Eggs, Wheat",Contains,uber_eats
Bacon Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,Biscuit sandwich with choice of turkey bacon or all-natural nitrate free applewood smoked pork bacon,Wheat,Contains,uber_eats
Bacon & Egg Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,Biscuit sandwich with choice of turkey bacon or all-natural nitrate free applewood smoked pork bacon and scrambled egg.,"Eggs, Wheat",Contains,uber_eats
Bacon Egg & Cheese Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"Biscuit sandwich with choice of turkey bacon or  all-natural nitrate free applewood smoked pork bacon, scrambled egg and American cheese.","Dairy, Eggs, Wheat",Contains,uber_eats
Sausage Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,Biscuit sandwich with chicken sausage,Wheat,Contains,uber_eats
Sausage & Egg Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,Biscuit Sandwich with chicken sausage and scrambled egg.,"Eggs, Wheat",Contains,uber_eats
Sausage Egg & Cheese Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"Biscuit sandwich with chicken sausage, scrambled egg and American cheese.","Dairy, Eggs, Wheat",Contains,uber_eats
Egg & Cheese Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,,"Dairy, Eggs, Wheat",Contains,uber_eats
Fried Chicken Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,Biscuit Sandwich with two fried chicken tenders,Wheat,Contains,uber_eats
Fried Chicken & Egg Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,Biscuit sandwich with two fried chicken tenders and scrambled egg.,"Eggs, Wheat",Contains,uber_eats
Fried Chicken Egg & Cheese,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"Biscuit sandwich with two fried chicken tenders, scrambled egg and American cheese.","Dairy, Eggs, Wheat",Contains,uber_eats
Chicken & Cheese Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,Biscuit sandwich with two fried chicken tenders and American cheese.,"Dairy, Wheat",Contains,uber_eats
Fried Chicken Club Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"Biscuit sandwich with two fried chicken tenders, American cheese and choice of turkey bacon and all-natural nitrate free applewood smoked pork bacon.","Dairy, Wheat",Contains,uber_eats
SOYsage Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,Biscuit sandwich with a SOYsage patty,Wheat,Contains,uber_eats
SOYsage & Egg Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,Biscuit sandwich with a SOYsage patty and scrambled egg.,"Eggs, Wheat",Contains,uber_eats
SOYsage Egg & Cheese Biscuit,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"Biscuit sandwich with a SOYsage patty, scrambled egg and American cheese.","Dairy, Eggs, Wheat",Contains,uber_eats
Sausage Bowl,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"Sausage, grits, egg and cheese","Corn, Dairy, Eggs, Wheat",Contains,uber_eats
"Loaded ""Moon Dusted"" Potato Bowl","Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"""Moon dusted"" potatoes, queso,  chopped bacon, chives and sour cream.","Dairy, Wheat",Contains,uber_eats
Chicken Chorizo Bowl,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"Chicken Chorizo, grits, egg, cheese and fresh cilantro","Corn, Dairy, Eggs, Wheat",Contains,uber_eats
Bacon Bowl,"Breakfast Sandwich, Breakfast Burritos and Grit Bowls",None,None,"Bacon, grits, egg and cheese","Corn, Dairy, Eggs, Wheat",Contains,uber_eats
Wake Up Burger,Burgers,None,None,"Two beef patties grilled and topped with crispy all natural nitrate free applewood bacon, a fried egg, avocado, and american cheese. Served with seasoned kettle chips.","Dairy, Eggs, Wheat",Contains,uber_eats
The Big Cheesy Patty Melt,Burgers,None,None,"Two 1/4 pound beef patties, homemade queso, crispy bacon, pickle chips and grilled onions on grilled challah bread. Served with kettle chips.",Wheat,Contains,uber_eats
Double Cheese Burger,Burgers,None,None,"Two 1/4 pound beef patties grilled and topped with American cheese, lettuce, tomato and pickle chips. Served on a sesame seed bun served with kettle chips.","Dairy, Sesame, Wheat",Contains,uber_eats
Chicken and Waffles,Chicken and Waffles,None,None,A golden waffle topped with crispy buttermilk chicken.,Dairy,Contains,uber_eats
Dirty Bird,Chicken and Waffles,None,None,"A golden waffle, topped with crispy buttermilk chicken, two eggs, and chicken sausage gravy.",Dairy,Contains,uber_eats
Biscuit Eggs and Gravy,Breakfast Classics,None,None,"Split biscuit topped with scrambled eggs and chicken sausage gravy, served with creamy dreamy grits.",Corn,Contains,uber_eats
High Flyer,Breakfast Classics,None,None,"Two eggs served with two chicken sage sausage patties, creamy dreamy grits and a fluffy buttermilk pancake topped with butter, and served with syrup and a fluffy flying biscuit.","Corn, Dairy",Contains,uber_eats
Waffle Breakfast,Breakfast Classics,None,None,"2 eggs served any style you like, choice of meat, choice of side, a golden Belgian waffle and a fluffy flying biscuit with cranberry apple butter. Syrup and butter served on the side.",Dairy,Contains,uber_eats
Bacon and Eggs Breakfast,Breakfast Classics,None,None,"Two eggs served with three strips of crispy all natural nitrate free applewood bacon, a bowl of creamy dreamy grits and a fluffy flying biscuit.",Corn,Contains,uber_eats
Chorizo Hash,Breakfast Classics,None,None,"Chicken chorizo, moon dusted potatoes, red and green peppers, onions and cheddar cheese topped with two over medium eggs, tomatillo salsa and cilantro. Served with a fluffy flying biscuit.",Dairy,Contains,uber_eats
Fluffy Buttermilk Pancakes,Breakfast Classics,None,None,"Two of light and fluffy buttermilk pancakes topped with butter, served with syrup and a side of our creamy dreamy grits. Sweeten your stack with chocolate chips, bananas.","Corn, Dairy",Contains,uber_eats
Heavenly French Toast,Breakfast Classics,None,None,Two thick slices of Challah or whole wheat bread dipped in signature batter and topped with raspberry sauce and honey creme anglaise. Served with a bowl of our creamy dreamy grits.,"Corn, Wheat",Contains,uber_eats
Pancake Tacos,Breakfast Classics,None,None,Two buttermilk pancakes stuffed with four scrambled eggs and signature chicken sage sausage. Served with our moon dusted potatoes.,Dairy,Contains,uber_eats
"Bacon, Egg and Cheese Breakfast Sandwich",Breakfast Classics,None,None,"English muffin, egg, crispy all-natural nitrate-free applewood bacon and American cheese.","Dairy, Eggs, Wheat",Contains,uber_eats
Chorizo Meggxican Wrap,Breakfast Classics,None,None,"Spicy scramble of chicken chorizo, eggs, cheddar cheese, onions and serrano peppers wrapped in a flour tortilla topped with warm tomato salsa and a dollop of sour cream.",Dairy,Contains,uber_eats
Stuffed French Toast Breakfast,Breakfast Classics,None,None,"Two thick slices of challah bread dipped in our signature batter, grilled, stuffed with sweet cream cheese and topped with powdered sugar and fresh strawberries. Honey anglaise and raspberry sauce on the side. Served with two eggs, two chicken sage sausage patties, cream dreamy grits and a fluffy flying biscuit.","Corn, Dairy, Wheat",Contains,uber_eats
GA Peaches and Cream Waffle Breakfast,Breakfast Classics,None,None,"Two eggs served with two chicken sage sausage patties, creamy dreamy grits and a house made golden Belgian waffle topped with warm peach compote, honey creme anglaise and whipped cream. Served with a fluffy flying biscuit.","Corn, Dairy",Contains,uber_eats
FL Sunshine Waffle Breakfast,Breakfast Classics,None,None,"Two eggs served with two chicken sage sausage patties, creamy dreamy grits and a house made golden Belgian waffle topped with fresh strawberries, blueberries, bananas and powder sugar. Served with a fluffy flying biscuit.",Corn,Contains,uber_eats
Three Amigos Breakfast Tacos,Breakfast Classics,None,None,"Three corn tortillas stuffed with scrambled eggs, yellow cheddar cheese, chicken chorizo, black bean salsa and sour cream. Served with a side of breakfast potatoes and our three amigos dipping trio of queso, salsa verde and hot sauce.","Corn, Dairy, Legumes",Contains,uber_eats
Strawberry Cheesecake Stuffed French Toast,Breakfast Classics,None,None,"Two thick slices of challah bread dipped in our signature batter, grilled, stuffed with sweet cream cheese and topped with powdered sugar and fresh strawberries with honey anglaise and raspberry sauce on the side. Served with a side of our applewood bacon.","Dairy, Wheat",Contains,uber_eats
Hangover Hash,Breakfast Classics,None,None,"Our potatoes with a heavy downpour of queso, covered with chicken chorizo, crispy buttermilk chicken and topped with two over medium eggs, black bean salsa with a sprinkle of cilantro.","Dairy, Legumes",Contains,uber_eats
Fried Green Tomato BLT,Sandwiches,None,None,"Crispy all natural nitrate free applewood bacon, two fried green tomatoes, lettuce, cashew jalapeno relish, and goat cheese. Served with choice of bread. Served with seasoned kettle chips.","Dairy, Tree Nuts, Wheat",Contains,uber_eats
Pimento Cheese Club,Sandwiches,None,None,"Pimento cheese, all natural nitrate free applewood bacon, thin sliced tomato, and lettuce. Served on choice of bread. Served with seasoned kettle chips.","Dairy, Wheat",Contains,uber_eats
Chicken Club,Sandwiches,None,None,"Crispy buttermilk chicken, melted cheese, crispy all natural nitrate free applewood bacon, sliced tomato, lettuce, and chipotle mayonnaise on of bun. Served with seasoned kettle chips.","Dairy, Eggs",Contains,uber_eats
Chicken Quesadilla,Sandwiches,None,None,"A buttery, golden brown quesadilla with crispy buttermilk chicken, parmesan mushrooms, and white queso and finely chopped chives with a dollop of sour cream and drizzle of chipotle sauce.",Dairy,Contains,uber_eats
Classic BLT,Sandwiches,None,None,"Five strips of crispy all-natural nitrate-free bacon, red ripe tomatoes, shredded lettuce and mayo on toasted sourdough bread.",Wheat,Contains,uber_eats
Hot-Lanta Chicken Sandwich,Sandwiches,None,None,"Signature hot chicken tenders, topped with queso, pickles and served on a sesame seed bun. Served with kettle chips","Sesame, Wheat",Contains,uber_eats
Smoked Salmon Scramble,Scrambles and Omelettes,None,None,"Three eggs scrambled with wood smoked salmon and dill cream cheese with fresh chives, served with creamy dreamy grits and a fluffy flying biscuit.","Corn, Dairy, Fish",Contains,uber_eats
Southern Scramble,Scrambles and Omelettes,None,None,"Three eggs scrambled with crispy all natural nitrate free applewood bacon, spicy vegan collard greens, onions and white cheddar cheese, served with creamy dreamy grits and a fluffy flying biscuit.","Corn, Dairy",Contains,uber_eats
Piedmont Omelette,Scrambles and Omelettes,None,None,"Three eggs, signature chicken sage sausage, choice of bacon, onions, and white cheddar cheese served with choice of side and a fluffy flying biscuit.",Dairy,Contains,uber_eats
1 Fluffy Flying Biscuit w/ cranberry apple butter,Sides,None,None,With cranberry apple butter.,Dairy,Contains,uber_eats
One Thick Slice of Whole Wheat French Toast,Sides,None,None,,Wheat,Contains,uber_eats
Single Pancake,Sides,None,None,Served with butter and syrup.,Dairy,Contains,uber_eats
Yogurt,Sides,None,None,With a touch of honey and fruit.,Dairy,Contains,uber_eats
Grits,Sides,None,None,"Award winning, creamy, dreamy, and white cheddar cheese grits.","Corn, Dairy",Contains,uber_eats
Grilled Macaroni and Cheese,Sides,None,None,,"Dairy, Wheat",Contains,uber_eats
Mini Shrimp and Grits,Starters,None,None,"Creamy dreamy white cheddar cheese grits topped with blackened shrimp, bacon, rustic red pepper, and tomato sauce garnished with fresh basil.","Corn, Dairy, Shellfish",Contains,uber_eats
Fried Crispy Pickles,Starters,None,None,Dill pickle chips breaded and fried crispy. Served with chipotle ranch.,Wheat,Contains,uber_eats
Pimento Cheese Fritters,Starters,None,None,Spicy pimento cheese breaded and flash fried. Served with a spicy aioli for dipping.,"Dairy, Eggs, Wheat",Contains,uber_eats
Hollywood Omelette,Vegetarian and Vegan Options,None,None,"Three egg whites, spinach, mushrooms, and white cheddar cheese, topped with warm tomato coulis. Served with creamy dreamy grits and a fluffy flying biscuit.","Corn, Dairy, Eggs",Contains,uber_eats
Garden Fresh Veggie Scramble,Vegetarian and Vegan Options,None,None,"Three eggs scrambled with onions, red peppers, spinach, mushrooms, and white cheddar cheese. Served with creamy dreamygrits and a fluffy flying biscuit.",Dairy,Contains,uber_eats
Vegan Tofu Scramble,Vegetarian and Vegan Options,None,None,"Tamari marinated tofu scrambled with red peppers, onions, spinach, and mushrooms. Served with fresh fruit and nine grain toast.",Soybeans,Contains,uber_eats
Vegan Tofu Wrap,Vegetarian and Vegan Options,None,None,"Spicy soy marinated tofu, shredded lettuce, tomatoes, red peppers, chopped fresh mushroom, fresh basil, and a spicy vegan chipotle sauce wrapped in a flour tortilla. Served with seasoned kettle chips.",Soybeans,Contains,uber_eats
Egg-Straordinary,Vegetarian and Vegan Options,None,None,"Two eggs served with moon dusted potatoes, creamy dreamy grits, and a fluffy flying biscuit.","Corn, Eggs",Contains,uber_eats
Vegetarian Gravy Biscuit Breakfast,Vegetarian and Vegan Options,None,None,"Split biscuit topped with beyond sausage gravy, served with sliced tomatoes and creamy dreamy grits.",Corn,Contains,uber_eats
Beyond Burger,Vegetarian and Vegan Options,None,None,"1/4 pound patty, lettuce, avocado and vegan chipotle served on a sesame seed bun. Served with kettle chips.","Sesame, Wheat",Contains,uber_eats
Cheese Curds,Picked for you,None,None,Premium white cheddar cheese curds lightly covered with butter crumbs and fried to a gooey golden perfection.,Dairy,Contains,uber_eats
Freddy's Original Double with Cheese,Picked for you,None,None,"Two steakburger patties, cheese, mustard, onion &amp; pickle on a toasted bun.","Dairy, Mustard, Onion",Contains,uber_eats
Double Bacon & Cheese Steakburger,Picked for you,None,None,"Two steakburger patties, mustard, onion, pickle &amp; bacon served on a toasted bun.","Dairy, Mustard, Onion",Contains,uber_eats
Single Steakburger with Cheese,Picked for you,None,None,"Single steakburger patty, cheese, mustard, onion &amp; pickles on a toasted bun.","Dairy, Mustard, Onion",Contains,uber_eats
Create Your Own,FROZEN CUSTARD,None,None,"Single, double or triple scoop of fresh &amp; creamy vanilla frozen custard.","Dairy, Eggs",Contains,uber_eats
Signature Turtle,FROZEN CUSTARD,None,None,"Fresh &amp; creamy vanilla custard, hot fudge, hot caramel, toasted pecans, whipped cream &amp; a cherry.","Dairy, Eggs",Contains,uber_eats
PBC & B,FROZEN CUSTARD,None,None,"Fresh &amp; creamy vanilla custard, Reese's® Peanut Butter Cup, banana, whipped cream &amp; a cherry.","Dairy, Eggs, Peanuts",Contains,uber_eats
Dirt 'n Worms,FROZEN CUSTARD,None,None,"Fresh &amp; creamy vanilla custard, Oreo® cookies, Gummy Worms, whipped cream &amp; a cherry.","Dairy, Eggs",Contains,uber_eats
Chocolate Brownie Delight,FROZEN CUSTARD,None,None,"Fresh &amp; creamy chocolate custard, brownie, hot fudge, whipped cream &amp; a cherry.","Dairy, Eggs",Contains,uber_eats
Shakes & Malts,FROZEN CUSTARD,None,None,,"Dairy, Eggs",Contains,uber_eats
MUG® Root Beer Float,FROZEN CUSTARD,None,None,Elevate your Root Beer! Made with MUG Root Beer and topped with our fresh &amp; creamy frozen custard!,"Dairy, Eggs, Wheat",Contains,uber_eats
Oreo® Custard Sandwich,FROZEN CUSTARD,None,None,Fresh &amp; creamy vanilla or chocolate frozen custard sandwiched between two Oreo® wafers.,"Dairy, Eggs, Wheat",Contains,uber_eats
Pints & Quarts,FROZEN CUSTARD,None,None,Fresh &amp; creamy plain vanilla frozen custard.,"Dairy, Eggs",Contains,uber_eats
Dish (No Toppings),FROZEN CUSTARD,None,None,"Single, double or triple scoop of fresh &amp; creamy vanilla frozen custard.","Dairy, Eggs",Contains,uber_eats
A1® Chophouse Double Combo,COMBO MEALS,None,None,"Two sizzling Steakburger patties, topped with grilled onions, sauteed mushrooms, white cheddar cheese and smothered with a zesty garlic and A.1.® sauce on a homestyle bun. Served with your choice of side &amp; a drink.","Dairy, Garlic",Contains,uber_eats
#1 Freddy's Original Double with Cheese Combo,COMBO MEALS,None,None,"Two steakburger patties, cheese, mustard, onion &amp; pickle on a toasted bun. Served with your choice of Freddy’s Shoestring Fries, Cheese Fries, Chili Cheese Fries, Cheese Curds, Onion Rings, Chili, Applesauce, or Baked Lays®.","Dairy, Mustard, Onion",Contains,uber_eats
#2 Bacon & Cheese Double Steakburger Combo,COMBO MEALS,None,None,"Two steakburger patties, cheese, mustard, onion, pickle &amp; bacon served on a toasted bun.","Dairy, Mustard, Onion",Contains,uber_eats
#3 Double Steakburger California Style Combo,COMBO MEALS,None,None,"Two steakburger patties, cheese, full slice of onion, Thousand Island, lettuce &amp; tomato served on a toasted bun.","Dairy, Onion",Contains,uber_eats
#4 Freddy's Original Patty Melt Combo,COMBO MEALS,None,None,"Two steakburger patties, Swiss cheese &amp; grilled onions on toasted rye bread.","Dairy, Wheat",Contains,uber_eats
#5 Double Jalapeño Pepper Jack Steakburger Combo,COMBO MEALS,None,None,"Two steakburger patties, pepper jack cheese, sauteed jalapeños and extra spicy Jalapeño Fry Sauce on a toasted bun. Served with your choice of Freddy’s Shoestring Fries, Cheese Fries, Chili Cheese Fries, Cheese Curds, Onion Rings, Chili, Applesauce, or Baked Lays®.","Dairy, Onion",Contains,uber_eats
#6 Crispy Chicken Breast Sandwich Combo,COMBO MEALS,None,None,"Fried chicken breast, lettuce &amp; tomato.

",Wheat,Contains,uber_eats
#6 Spicy Chicken Sandwich Combo,COMBO MEALS,None,None,,Wheat,Contains,uber_eats
#6 Grilled Chicken Sandwich Combo,COMBO MEALS,None,None,,Wheat,Contains,uber_eats
Chili Cheese Dog Combo,COMBO MEALS,None,None,"All beef hot dog topped with chili, shredded cheese &amp; diced onions on a toasted bun.",Dairy,Contains,uber_eats
#1 Single Steakburger with Cheese Combo,COMBO MEALS,None,None,,Dairy,Contains,uber_eats
#1 Triple Steakburger with Cheese Combo,COMBO MEALS,None,None,,Dairy,Contains,uber_eats
A1® Chophouse Double,SANDWICHES AND MORE,None,None,"Two sizzling steakburger patties, topped with grilled onions, sauteed mushrooms, white cheddar cheese and smothered with a zesty garlic and A.1.® sauce on a homestyle bun.","Dairy, Garlic",Contains,uber_eats
Freddy's Original Double with Cheese,SANDWICHES AND MORE,None,None,"Two steakburger patties, cheese, mustard, onion &amp; pickle on a toasted bun.","Dairy, Mustard, Onion",Contains,uber_eats
Double Bacon & Cheese Steakburger,SANDWICHES AND MORE,None,None,"Two steakburger patties, mustard, onion, pickle &amp; bacon served on a toasted bun.","Dairy, Mustard, Onion",Contains,uber_eats
Double California Burger,SANDWICHES AND MORE,None,None,"Two steakburger patties, cheese, full slice of onion, Thousand Island, lettuce &amp; tomato served on a toasted bun.","Dairy, Onion, Wheat",Contains,uber_eats
Freddy's Original Double Patty Melt,SANDWICHES AND MORE,None,None,"Two steakburger patties, Swiss cheese &amp; grilled onions on toasted rye bread.","Dairy, Wheat",Contains,uber_eats
Double Jalapeño Pepper Jack,SANDWICHES AND MORE,None,None,"Two steakburger patties, pepper jack cheese, sautéed jalapeños and extra spicy Jalapeño Fry Sauce on a toasted bun.",Dairy,Contains,uber_eats
Crispy Chicken Sandwich,SANDWICHES AND MORE,None,None,"A tender chicken breast fillet cooked to a crispy golden brown and topped with crunchy pickles, all on a perfectly toasted bun.",Wheat,Contains,uber_eats
Spicy Chicken Sandwich,SANDWICHES AND MORE,None,None,A tender chicken breast fillet topped with extra spicy Jalapeño Fry Sauce and crunchy pickles on a toasted bun.,Wheat,Contains,uber_eats
Grilled Chicken Sandwich,SANDWICHES AND MORE,None,None,"Grilled chicken breast, lettuce &amp; tomato served on a toasted bun.",Wheat,Contains,uber_eats
Chili Cheese Dog,SANDWICHES AND MORE,None,None,,Dairy,Contains,uber_eats
Single Steakburger with Cheese,SANDWICHES AND MORE,None,None,"Single steakburger patty, cheese, mustard, onion &amp; pickles on a toasted bun.","Dairy, Mustard, Onion",Contains,uber_eats
Triple Steakburger with Cheese,SANDWICHES AND MORE,None,None,"Three steakburger patties, cheese mustard, onion &amp; pickles on a toasted bun.","Dairy, Mustard, Onion",Contains,uber_eats
Kid's Burger Combo,KIDS COMBOS,None,None,"Steakburger patty, ketchup &amp; pickle on a toasted bun. Served with your choice of Baked Lays®, Mott’s® Natural Applesauce, or other side and Milk, Water, or the drink of your choice.","Dairy, Wheat",Contains,uber_eats
Kid's Cheeseburger Combo,KIDS COMBOS,None,None,"Steakburger patty, cheese, ketchup &amp; pickle on a toasted bun. Served with your choice of Baked Lays®, Mott’s® Natural Applesauce, or other side and Milk, Water, or the drink of your choice.",Dairy,Contains,uber_eats
Kid's Hot Dog Combo,KIDS COMBOS,None,None,"All beef hot dog served plain or with your choice of condiments on a toasted bun. Served with your choice of Baked Lays®, Mott’s® Natural Applesauce, or other side and Milk, Water, or the drink of your choice.",Dairy,Contains,uber_eats
Cheese Curds,SAVORY SIDES,None,None,Premium white cheddar cheese curds lightly covered with butter crumbs and fried to a gooey golden perfection.,Dairy,Contains,uber_eats
Cheese Fries,SAVORY SIDES,None,None,Freddy's Shoestring Fries topped with jalapeño cheese sauce.,Dairy,Contains,uber_eats
Chili Cheese Fries,SAVORY SIDES,None,None,"Freddy's Shoestring Fries topped with chili, jalapeño cheese sauce &amp; diced onions.",Dairy,Contains,uber_eats
Milk,BEVERAGES,None,None,,Dairy,Contains,uber_eats
Chocolate Milk,BEVERAGES,None,None,,Dairy,Contains,uber_eats
"18"" Extra Large Cheese Pizza",Picked for you,None,None,,Dairy,Contains,uber_eats
16'' Large Cheese Pizza,Picked for you,None,None,,Dairy,Contains,uber_eats
Salvatore's Special Calzone,Picked for you,None,None,"Pepperoni, mozzarella, ricotta, mushroom, Italian sausage, onion, bell pepper, green and black olives. Served with marinara sauce on the side.",Onion,Contains,uber_eats
"14"" Medium Cheese Pizza",Picked for you,None,None,,Dairy,Contains,uber_eats
"9"" Garlic Cheese Bread",Appetizers,None,None,Served with a side of marinara sauce.,"Dairy, Garlic, Wheat",Contains,uber_eats
"7"" Garlic Bread",Appetizers,None,None,,"Garlic, Wheat",Contains,uber_eats
"7"" Garlic Bread with Side of Marinara Sauce",Appetizers,None,None,,"Garlic, Wheat",Contains,uber_eats
Meatballs in Sauce With Ricotta Cheese,Appetizers,None,None,2 pcs. Served with ricotta cheese.,Dairy,Contains,uber_eats
